                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 1.1369,                0.90567,                 1.2137,                0.69306,                 0.5317,                0.60555,                0.38381,                 1.4699,                 1.3288,                 1.4492,               0.008482,               0.008482,               0.008482
                     48,                 1.1334,                0.91225,                 1.2116,                0.67345,                0.54478,                0.60717,                0.37211,                 1.4875,                 1.3454,                 1.4554,               0.008449,               0.008449,               0.008449
                     49,                 1.1356,                0.88959,                 1.2084,                0.71567,                0.54503,                 0.6134,                0.38094,                 1.4892,                 1.3393,                 1.4591,               0.008416,               0.008416,               0.008416
                     50,                 1.1309,                0.88106,                  1.207,                0.68246,                0.54691,                0.59541,                 0.3658,                 1.4966,                  1.337,                 1.4598,               0.008383,               0.008383,               0.008383
                     51,                  1.118,                0.87843,                 1.2016,                0.75322,                0.54113,                0.62577,                0.39036,                 1.4795,                 1.3059,                 1.4406,                0.00835,                0.00835,                0.00835
                     52,                 1.1244,                0.87844,                 1.2017,                0.71364,                0.53696,                0.61019,                0.37718,                 1.4949,                 1.3014,                 1.4541,               0.008317,               0.008317,               0.008317
                     53,                 1.1139,                0.85946,                 1.1929,                0.73134,                0.54714,                0.61832,                0.38029,                 1.4798,                 1.2971,                 1.4447,               0.008284,               0.008284,               0.008284
                     54,                 1.1174,                0.86495,                 1.1943,                0.74986,                0.53029,                0.60995,                 0.3804,                 1.4803,                 1.3451,                 1.4419,               0.008251,               0.008251,               0.008251
                     55,                 1.1014,                 0.8482,                 1.1878,                0.73318,                 0.5483,                0.61991,                0.38558,                 1.4637,                  1.277,                 1.4448,               0.008218,               0.008218,               0.008218
                     56,                 1.0953,                0.84269,                 1.1877,                0.70865,                0.53526,                0.61143,                0.37937,                  1.472,                 1.2897,                  1.432,               0.008185,               0.008185,               0.008185
                     57,                 1.0984,                0.84566,                 1.1893,                0.72778,                0.51926,                 0.5999,                0.37286,                 1.5106,                 1.3373,                 1.4696,               0.008152,               0.008152,               0.008152
                     58,                 1.0911,                 0.8352,                 1.1816,                0.75003,                0.55002,                0.61346,                0.38717,                 1.4793,                 1.3274,                 1.4404,               0.008119,               0.008119,               0.008119
                     59,                 1.0828,                0.83297,                 1.1814,                0.69978,                0.55156,                0.60973,                0.38559,                 1.4829,                 1.3046,                 1.4523,               0.008086,               0.008086,               0.008086
                     60,                 1.0838,                0.83311,                 1.1804,                0.71593,                0.54491,                0.61216,                0.38556,                 1.4771,                 1.3347,                 1.4406,               0.008053,               0.008053,               0.008053
                     61,                 1.0759,                0.82406,                 1.1762,                0.73135,                0.54461,                0.61833,                0.38878,                 1.4702,                 1.3023,                 1.4432,                0.00802,                0.00802,                0.00802
                     62,                 1.0798,                0.81911,                 1.1751,                0.74641,                0.53857,                0.62524,                0.39232,                 1.4683,                 1.2936,                 1.4497,               0.007987,               0.007987,               0.007987
                     63,                 1.0738,                0.82043,                 1.1687,                0.72735,                0.54378,                0.62542,                0.39362,                 1.4733,                 1.2902,                 1.4421,               0.007954,               0.007954,               0.007954
                     64,                 1.0716,                0.81075,                 1.1703,                0.74351,                 0.5437,                0.61948,                0.39544,                 1.4432,                 1.2677,                 1.4158,               0.007921,               0.007921,               0.007921
                     65,                 1.0679,                0.80421,                  1.165,                0.70423,                0.56338,                0.61795,                0.39122,                 1.4775,                 1.2899,                  1.443,               0.007888,               0.007888,               0.007888
                     66,                 1.0659,                0.81013,                 1.1632,                0.70824,                0.56497,                0.62248,                0.39068,                  1.474,                 1.2777,                 1.4405,               0.007855,               0.007855,               0.007855
                     67,                 1.0596,                0.79828,                 1.1613,                 0.7528,                0.55348,                0.62332,                 0.3956,                 1.4732,                 1.2918,                 1.4454,               0.007822,               0.007822,               0.007822
                     68,                 1.0549,                 0.7883,                 1.1577,                0.73968,                0.56376,                0.63508,                0.40219,                 1.4629,                 1.2751,                 1.4374,               0.007789,               0.007789,               0.007789
                     69,                 1.0506,                0.77869,                 1.1606,                0.75976,                0.54875,                0.63092,                0.39737,                 1.4614,                 1.3041,                 1.4435,               0.007756,               0.007756,               0.007756
                     70,                 1.0479,                0.78496,                 1.1563,                0.72417,                0.56573,                0.62871,                0.39287,                 1.4872,                 1.2775,                 1.4573,               0.007723,               0.007723,               0.007723
                     71,                 1.0477,                0.77988,                   1.15,                0.74586,                0.53355,                0.62314,                0.39659,                 1.4758,                 1.3161,                   1.44,                0.00769,                0.00769,                0.00769
                     72,                 1.0392,                0.77253,                 1.1492,                0.71035,                0.55923,                0.62033,                0.39056,                 1.4836,                 1.3056,                 1.4538,               0.007657,               0.007657,               0.007657
                     73,                 1.0359,                 0.7708,                 1.1475,                0.70197,                0.56411,                0.62124,                 0.3924,                 1.4711,                 1.2547,                 1.4483,               0.007624,               0.007624,               0.007624
                     74,                 1.0393,                0.77217,                 1.1508,                0.74287,                0.54215,                0.62507,                0.39336,                 1.4626,                 1.3064,                 1.4457,               0.007591,               0.007591,               0.007591
                     75,                  1.029,                0.76059,                 1.1449,                0.75928,                0.54942,                0.62888,                0.39106,                 1.4839,                 1.2894,                  1.455,               0.007558,               0.007558,               0.007558
                     76,                 1.0335,                0.75689,                 1.1414,                0.74153,                0.57081,                0.64039,                0.40236,                 1.4798,                 1.2364,                 1.4452,               0.007525,               0.007525,               0.007525
                     77,                 1.0279,                0.76201,                 1.1415,                0.74177,                0.55835,                0.63833,                0.40299,                 1.4529,                  1.264,                 1.4322,               0.007492,               0.007492,               0.007492
                     78,                 1.0272,                0.75713,                 1.1388,                 0.7558,                 0.5565,                 0.6284,                0.39964,                 1.4623,                 1.2919,                 1.4393,               0.007459,               0.007459,               0.007459
                     79,                 1.0276,                0.75628,                 1.1404,                0.75214,                0.56039,                 0.6335,                0.40062,                 1.4714,                 1.2586,                 1.4404,               0.007426,               0.007426,               0.007426
                     80,                 1.0216,                0.74902,                 1.1372,                0.74353,                 0.5576,                0.63307,                0.40561,                 1.4574,                 1.3006,                 1.4343,               0.007393,               0.007393,               0.007393
                     81,                 1.0111,                0.73853,                 1.1242,                  0.707,                0.57201,                0.62921,                0.40007,                 1.4574,                 1.3097,                 1.4278,                0.00736,                0.00736,                0.00736
                     82,                 1.0144,                0.74806,                 1.1316,                0.74845,                0.55146,                0.62542,                0.39943,                 1.4663,                 1.2999,                 1.4428,               0.007327,               0.007327,               0.007327
                     83,                 1.0024,                0.73476,                 1.1261,                0.77125,                0.54786,                0.63803,                 0.4056,                 1.4594,                  1.263,                  1.441,               0.007294,               0.007294,               0.007294
                     84,                 1.0041,                0.72713,                 1.1257,                0.72293,                0.57243,                0.63238,                0.40049,                 1.4778,                 1.2762,                 1.4536,               0.007261,               0.007261,               0.007261
                     85,                 1.0003,                0.72859,                 1.1244,                0.75593,                0.55692,                0.63382,                0.40097,                 1.4533,                 1.2727,                 1.4351,               0.007228,               0.007228,               0.007228
                     86,                0.99918,                0.72978,                 1.1284,                0.78773,                0.54466,                0.64197,                0.40374,                 1.4701,                 1.2752,                 1.4577,               0.007195,               0.007195,               0.007195
                     87,                0.99567,                0.72068,                 1.1171,                0.78405,                0.55111,                 0.6375,                0.39896,                 1.4702,                 1.2696,                 1.4496,               0.007162,               0.007162,               0.007162
                     88,                0.98538,                0.71297,                 1.1163,                0.72313,                0.58061,                0.64169,                0.40246,                 1.4705,                 1.2599,                 1.4486,               0.007129,               0.007129,               0.007129
                     89,                 0.9923,                0.71889,                 1.1182,                0.78801,                0.54438,                0.64089,                 0.4049,                 1.4663,                 1.2604,                 1.4435,               0.007096,               0.007096,               0.007096
                     90,                0.99147,                 0.7128,                 1.1153,                0.75133,                0.57548,                0.64024,                0.40389,                 1.4742,                 1.2512,                 1.4469,               0.007063,               0.007063,               0.007063
                     91,                0.98759,                0.71144,                  1.118,                0.75399,                 0.5573,                0.63784,                0.40183,                  1.465,                 1.2627,                 1.4471,                0.00703,                0.00703,                0.00703
                     92,                0.98522,                0.71066,                 1.1151,                0.78858,                0.54959,                0.64154,                0.40596,                 1.4718,                 1.2635,                 1.4536,               0.006997,               0.006997,               0.006997
                     93,                0.97454,                0.70086,                 1.1107,                 0.7603,                0.56498,                0.64069,                0.40049,                 1.4768,                 1.2469,                 1.4517,               0.006964,               0.006964,               0.006964
